HomeTeam,AwayTeam,FTHG,FTAG,FTR
Liverpool,Norwich,4,1,H
West Ham,Man City,0,5,A
Bournemouth,Sheffield United,1,1,D
Burnley,Southampton,3,0,H
Crystal Palace,Everton,0,0,D
Watford,Brighton,0,3,A
Tottenham,Aston Villa,3,1,H
Leicester,Wolves,0,0,D
Newcastle,Arsenal,0,1,A
Man United,Chelsea,4,0,H
Arsenal,Burnley,2,1,H
Aston Villa,Bournemouth,1,2,A
Brighton,West Ham,1,1,D
Everton,Watford,1,0,H
Norwich,Newcastle,3,1,H
Southampton,Liverpool,1,2,A
Man City,Tottenham,2,2,D
Sheffield United,Crystal Palace,1,0,H
Chelsea,Leicester,1,1,D
Wolves,Man United,1,1,D
Aston Villa,Everton,2,0,H
Norwich,Chelsea,2,3,A
Brighton,Southampton,0,2,A
Man United,Crystal Palace,1,2,A
Sheffield United,Leicester,1,2,A
Watford,West Ham,1,3,A
Liverpool,Arsenal,3,1,H
Bournemouth,Man City,1,3,A
Tottenham,Newcastle,0,1,A
Wolves,Burnley,1,1,D
Southampton,Man United,1,1,D
Chelsea,Sheffield United,2,2,D
Crystal Palace,Aston Villa,1,0,H
Leicester,Bournemouth,3,1,H
Man City,Brighton,4,0,H
Newcastle,Watford,1,1,D
West Ham,Norwich,2,0,H
Burnley,Liverpool,0,3,A
Everton,Wolves,3,2,H
Arsenal,Tottenham,2,2,D
Liverpool,Newcastle,3,1,H
Brighton,Burnley,1,1,D
Man United,Leicester,1,0,H
Sheffield United,Southampton,0,1,A
Tottenham,Crystal Palace,4,0,H
Wolves,Chelsea,2,5,A
Norwich,Man City,3,2,H
Bournemouth,Everton,3,1,H
Watford,Arsenal,2,2,D
Aston Villa,West Ham,0,0,D
Southampton,Bournemouth,1,3,A
Leicester,Tottenham,2,1,H
Burnley,Norwich,2,0,H
Everton,Sheffield United,0,2,A
Man City,Watford,8,0,H
Newcastle,Brighton,0,0,D
Crystal Palace,Wolves,1,1,D
West Ham,Man United,2,0,H
Arsenal,Aston Villa,3,2,H
Chelsea,Liverpool,1,2,A
Sheffield United,Liverpool,0,1,A
Aston Villa,Burnley,2,2,D
Bournemouth,West Ham,2,2,D
Chelsea,Brighton,2,0,H
Crystal Palace,Norwich,2,0,H
Tottenham,Southampton,2,1,H
Wolves,Watford,2,0,H
Everton,Man City,1,3,A
Leicester,Newcastle,5,0,H
Man United,Arsenal,1,1,D
Brighton,Tottenham,3,0,H
Burnley,Everton,1,0,H
Liverpool,Leicester,2,1,H
Norwich,Aston Villa,1,5,A
Watford,Sheffield United,0,0,D
West Ham,Crystal Palace,1,2,A
Arsenal,Bournemouth,1,0,H
Man City,Wolves,0,2,A
Southampton,Chelsea,1,4,A
Newcastle,Man United,1,0,H
Everton,West Ham,2,0,H
Aston Villa,Brighton,2,1,H
Bournemouth,Norwich,0,0,D
Chelsea,Newcastle,1,0,H
Leicester,Burnley,2,1,H
Tottenham,Watford,1,1,D
Wolves,Southampton,1,1,D
