Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,26/12/2019,13:30,Genk,Eupen,,,,,,,1.44,5,6.5,1.4,4.75,7,1.42,4.5,6.4,1.46,4.51,7.45,1.42,4.5,7,1.44,4.6,7,1.46,5,7.5,1.42,4.57,6.82,1.6,2.3,1.68,2.24,1.68,2.34,1.6,2.26,-1.25,1.98,1.88,2.02,1.86,2.02,1.94,1.95,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/12/2019,13:30,Kortrijk,Cercle Brugge,,,,,,,1.72,4,4.33,1.8,3.8,4,1.77,3.8,3.95,1.76,4.17,4.29,1.75,3.9,4.2,1.75,4,4.2,1.84,4.17,4.34,1.77,3.9,4.06,1.57,2.35,1.54,2.55,1.57,2.56,1.54,2.43,-0.75,1.98,1.88,1.98,1.9,2.07,1.91,1.98,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/12/2019,13:30,Mouscron,Mechelen,,,,,,,2.62,3.3,2.62,2.55,3.4,2.6,2.6,3.3,2.55,2.64,3.53,2.65,2.55,3.4,2.6,2.6,3.4,2.63,2.65,3.53,2.77,2.56,3.37,2.62,1.85,1.95,1.9,1.96,1.95,1.98,1.86,1.91,0,1.93,1.93,1.93,1.94,1.98,2.02,1.89,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/12/2019,13:30,Waasland-Beveren,St Truiden,,,,,,,2.37,3.6,2.75,2.5,3.5,2.6,2.4,3.45,2.65,2.41,3.72,2.81,2.4,3.5,2.7,2.45,3.6,2.7,2.55,3.72,2.81,2.45,3.53,2.66,1.6,2.3,1.65,2.31,1.68,2.35,1.63,2.23,0,1.8,2.05,1.79,2.09,1.92,2.11,1.83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/12/2019,17:00,Club Brugge,Waregem,,,,,,,1.22,7,10,1.22,6,11.5,1.22,6,11,1.21,6.53,13.82,1.2,6,15,1.2,6.5,13,1.24,7.03,15,1.21,6.33,11.84,1.44,2.7,1.43,2.83,1.47,2.83,1.44,2.68,-1.75,1.83,2.02,1.87,1.99,1.89,2.07,1.83,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,26/12/2019,19:30,Standard,Gent,,,,,,,2.3,3.6,2.75,2.35,3.5,2.75,2.35,3.45,2.7,2.47,3.64,2.78,2.38,3.5,2.75,2.4,3.6,2.75,2.47,3.69,2.93,2.37,3.52,2.75,1.7,2.1,1.74,2.15,1.75,2.28,1.68,2.15,-0.25,2.05,1.75,2.14,1.76,2.16,1.83,2.08,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,27/12/2019,17:00,Charleroi,Oostende,,,,,,,1.53,4,6,1.57,4,5.5,1.53,4.05,5.5,1.53,4.37,6.29,1.5,4.2,6,1.53,4.2,6,1.57,4.4,6.5,1.53,4.15,5.77,1.7,2.1,1.69,2.21,1.73,2.23,1.68,2.14,-1,1.93,1.93,1.91,1.97,1.97,1.98,1.89,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,27/12/2019,19:30,Antwerp,Anderlecht,,,,,,,1.85,3.6,4,1.83,3.7,3.9,1.83,3.6,3.9,1.83,4.08,4.05,1.83,3.6,4,1.83,3.7,4.1,1.9,4.08,4.15,1.83,3.75,3.92,1.8,2,1.77,2.11,1.83,2.12,1.76,2.02,-0.5,1.85,2,1.82,2.07,1.92,2.07,1.82,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,12:30,Tottenham,Brighton,,,,,,,1.53,4.33,6,1.55,4.4,5.5,1.57,4.35,5.5,1.56,4.48,6,1.55,4.33,5.8,1.53,4.33,6,1.59,4.6,6.11,1.55,4.41,5.73,1.61,2.3,1.64,2.4,1.64,2.43,1.6,2.35,-1,1.94,1.96,1.96,1.97,1.96,2.01,1.91,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,15:00,Aston Villa,Norwich,,,,,,,2.1,3.75,3.3,2.05,3.8,3.3,2.1,3.75,3.2,2.14,3.84,3.31,2.1,3.7,3.25,2.1,3.8,3.25,2.2,3.9,3.45,2.11,3.77,3.28,1.53,2.5,1.56,2.59,1.56,2.63,1.52,2.51,-0.25,1.86,2.04,1.88,2.05,1.88,2.07,1.85,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,15:00,Bournemouth,Arsenal,,,,,,,3.5,3.9,1.95,3.5,3.9,1.95,3.45,3.8,2,3.49,3.87,2.07,3.5,3.8,2,3.5,3.8,2,3.65,4,2.08,3.5,3.85,2.01,1.57,2.37,1.59,2.52,1.59,2.55,1.55,2.43,0.5,1.88,2.02,1.86,2.07,1.92,2.07,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,15:00,Chelsea,Southampton,,,,,,,1.33,5.25,9,1.35,5.25,8.25,1.37,5.2,7.9,1.36,5.3,9.12,1.35,5,9,1.33,5.25,9,1.39,5.75,9.25,1.35,5.31,8.58,1.5,2.62,1.53,2.69,1.53,2.76,1.49,2.62,-1.5,2.03,1.87,2.06,1.87,2.06,1.94,1.99,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,15:00,Crystal Palace,West Ham,,,,,,,2.3,3.4,3.1,2.2,3.5,3.2,2.3,3.35,3.1,2.39,3.44,3.11,2.3,3.4,3.1,2.3,3.4,3.13,2.45,3.59,3.21,2.32,3.42,3.12,1.9,1.9,1.96,1.95,1.96,2.01,1.9,1.92,-0.25,2.03,1.87,2.06,1.86,2.06,1.91,2,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,15:00,Everton,Burnley,,,,,,,1.7,3.75,5,1.67,3.8,5.25,1.7,3.7,5,1.75,3.77,5.21,1.7,3.7,5.25,1.7,3.7,5.2,1.76,3.9,5.65,1.71,3.76,5.15,1.9,1.9,2.04,1.88,2.04,1.94,1.93,1.89,-0.75,1.95,1.95,1.99,1.94,1.99,1.99,1.92,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,26/12/2019,15:00,Sheffield United,Watford,,,,,,,1.83,3.6,4.33,1.85,3.5,4.5,1.85,3.5,4.45,1.9,3.58,4.49,1.85,3.5,4.4,1.83,3.5,4.6,1.95,3.7,4.65,1.86,3.54,4.46,2.1,1.72,2.19,1.76,2.19,1.8,2.11,1.74,-0.5,1.87,2.03,1.9,2.03,1.95,2.08,1.85,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
